ticket_id,data_abertura,cliente,severidade,categoria,titulo,descricao,resolucao,tempo_resolucao_horas,status
TK-001,2025-01-02,Acme Corp,P2,Infraestrutura,Servidor web fora do ar,O servidor web principal da Acme Corp ficou inacessível após atualização do sistema operacional. Load balancer redirecionando para instância secundária.,"Identificado que a atualização do kernel modificou regras de iptables. Restaurado firewall rules com iptables-restore < /etc/iptables.rules e reiniciado nginx.",4,Resolvido
TK-002,2025-01-03,Beta Systems,P1,Segurança,Vazamento de dados em logs,Credenciais de banco de dados aparecendo em logs de aplicação em texto plano. Descoberto durante auditoria de segurança trimestral.,"Atualizado logger para mascarar campos sensíveis (password, token, secret). Rotacionado todas as credenciais expostas. Implementado filtro de regex no log pipeline.",2,Resolvido
TK-003,2025-01-05,Gamma Tech,P3,Integração,API de parceiro retornando 503,A API do parceiro DataFlow está retornando 503 intermitentemente desde sexta-feira. Afetando sincronização de dados de 3 clientes.,"Parceiro confirmou manutenção programada. Implementado retry com exponential backoff (1s, 2s, 4s, 8s) e circuit breaker com threshold de 5 falhas em 60 segundos.",8,Resolvido
TK-004,2025-01-06,Delta Logistics,P2,Performance,Relatórios lentos no dashboard,Geração de relatórios mensais levando mais de 5 minutos. Antes levava 30 segundos. Dashboard ficando com timeout para clientes com mais de 100k registros.,"Query N+1 identificada no ORM. Otimizada query principal com JOIN e adicionado índice composto em (client_id, created_at). Tempo reduziu para 2 segundos.",6,Resolvido
TK-005,2025-01-08,Acme Corp,P3,Funcionalidade,Filtro de busca não funciona com acentos,Busca por texto retorna resultados vazios quando o termo contém acentos (ex: 'relatório' não encontra documentos com essa palavra).,"Adicionado unaccent extension no PostgreSQL. Atualizado índice de busca textual com to_tsvector('unaccent', content). Reindexados todos os documentos.",12,Resolvido
TK-006,2025-01-10,Epsilon SA,P1,Infraestrutura,Banco de dados corrompido após queda de energia,Queda de energia no datacenter causou corrupção em tabelas do PostgreSQL. Backups automáticos do último ciclo também estão corrompidos.,"Restaurado backup de 12 horas antes da queda (point-in-time recovery). Reprocessados dados do gap usando logs do message broker. Implementado réplica síncrona em outro datacenter.",24,Resolvido
TK-007,2025-01-12,Beta Systems,P2,Segurança,Tentativas de login suspeitas,Detectadas mais de 500 tentativas de login falhadas em 1 hora vindas de IPs diferentes. Possível ataque de credential stuffing.,"Ativado rate limiting de 5 tentativas por IP por minuto. Implementado CAPTCHA após 3 falhas consecutivas. Bloqueados 15 ranges de IP maliciosos no WAF. Notificados usuários para trocar senha.",3,Resolvido
TK-008,2025-01-14,Gamma Tech,P3,Funcionalidade,Webhook não dispara para eventos de cancelamento,Webhooks configurados para notificar parceiros sobre cancelamentos não estão sendo enviados. Outros tipos de evento (criação e atualização) funcionam normalmente.,"Bug no switch/case do dispatcher: case 'cancellation' faltando (typo: estava 'cancelation'). Corrigido e adicionado teste unitário para todos os event types.",4,Resolvido
TK-009,2025-01-15,Zeta Finance,P2,Performance,Job de processamento noturno falhando,Batch job que processa transações do dia falha com OutOfMemoryError ao processar mais de 50k transações. Funciona com volumes menores.,"Refatorado processamento de lote para usar streaming com chunks de 1000 registros em vez de carregar tudo na memória. Implementado checkpointing para retry parcial.",8,Resolvido
TK-010,2025-01-17,Delta Logistics,P1,Infraestrutura,Cluster Kubernetes instável,Nodes do cluster ficando NotReady intermitentemente. Pods sendo evictados. Serviço degradado para 3 clientes.,"Disco dos nodes estava 95% cheio com logs de container. Configurado log rotation no Docker daemon (max-size: 50m, max-file: 3). Adicionado DaemonSet para limpeza automática de imagens não utilizadas.",6,Resolvido
TK-011,2025-01-18,Acme Corp,P3,Integração,Importação CSV falhando com encoding errado,Upload de CSV com caracteres especiais (acentos em português) causa erro de parsing. Arquivo salvo em encoding Windows-1252 em vez de UTF-8.,"Adicionado detecção automática de encoding usando heurísticas (BOM, análise de bytes). Conversão automática para UTF-8 antes do parsing. Suporte adicionado para UTF-8, Latin-1 e Windows-1252.",6,Resolvido
TK-012,2025-01-20,Epsilon SA,P2,Funcionalidade,Notificações duplicadas por email,Clientes recebendo 2 a 3 cópias da mesma notificação por email. Problema começou após deploy da versão 4.2.1.,"Race condition no consumer de eventos. Duas instâncias processando o mesmo evento. Implementado idempotency key usando hash do evento + timestamp. Adicionado lock distribuído com Redis.",4,Resolvido
